ID,Purchasing_Document_Number,Item_Number_of_Purchasing_Document,Is_the_order_deleted,Purchasing_Document_Item _Date,Material_Number,Net_Price_in_Purchasing_Document_(in Document Currency),Account_Assignment_Category,Created_On,Flag_Material_for_Deletion_at_Client_Level,Base_Unit_of_Measure,Net_Weight
4210142253_20,4210142253,20,,2023-12-06,,5130,Partnership,,,,
4500174522_110,4500174522,110,,2023-12-06,,10000,Partnership,,,,
4210141792_10,4210141792,10,,2023-12-06,7009528,361330,Vendor,2005-12-03,yes,UN,0.0
4210141792_20,4210141792,20,,2023-12-06,7009970,457530,Vendor,2005-12-03,,UN,0.0
4220040208_10,4220040208,10,,2023-12-06,,188300,Partnership,,,,
4210142236_20,4210142236,20,,2023-12-06,7010918,5000,Vendor,2005-12-03,,UN,0.0
4400010318_10,4400010318,10,,2023-12-06,30030201,10000,Vendor,2013-01-08,,KG,5.0
4400010259_10,4400010259,10,,2023-12-06,58080101,10000,Vendor,2014-07-22,,L,0.0
4500174464_30,4500174464,30,,2023-12-06,,10000,Partnership,,,,
4300013156_70,4300013156,70,,2023-12-06,33312001,10000,Vendor,2005-11-07,,L,0.0
4500174539_20,4500174539,20,,2023-12-06,55065601,10000,Vendor,2021-02-23,,KG,15.0
4500174519_160,4500174519,160,,2023-12-06,,12930,Partnership,,,,
4500174542_10,4500174542,10,,2023-12-06,55063801,10000,Vendor,2020-10-29,,KG,20.0
4500174543_10,4500174543,10,,2023-12-06,55053921,10000,Vendor,2021-06-25,,KG,10.0
45006009_10,45006009,10,,2023-12-06,100055,10000,Vendor,2019-04-19,,KG,25.0
4400010313_10,4400010313,10,,2023-12-06,56620401,10000,Vendor,2014-09-22,,KG,15.0
4210142193_10,4210142193,10,,2023-12-06,7048176,759520,Vendor,2018-10-10,,UN,0.0
4500170600_10,4500170600,10,,2023-12-06,58200551,6170,Vendor,2023-09-21,,KG,10.0
4500174514_1,4500174514,1,,2023-12-06,,5000,Partnership,,,,
4500170601_10,4500170601,10,,2023-12-06,58200551,6170,Vendor,2023-09-21,,KG,10.0
6000037851_10,6000037851,10,,2023-12-06,7003475,5000,Vendor,2005-12-03,,UN,0.0
6000037851_30,6000037851,30,,2023-12-06,7054565,5000,Vendor,2023-12-05,,UN,0.0
6000037851_20,6000037851,20,,2023-12-06,7054569,5000,Vendor,2023-12-05,,KG,15.0
4210142252_10,4210142252,10,,2023-12-06,,10000,Partnership,,,,
4300013156_10,4300013156,10,,2023-12-06,33330449,10000,Vendor,2006-02-28,,L,0.0
4300013156_40,4300013156,40,,2023-12-06,33370101,10000,Vendor,1998-11-04,,KG,15.0
4300013156_30,4300013156,30,,2023-12-06,33371454,7600,Vendor,2004-04-22,,KG,20.0
4210142226_10,4210142226,10,,2023-12-06,,5130,Partnership,,,,
4400010314_10,4400010314,10,,2023-12-06,56620403,10000,Vendor,2018-09-21,,KG,10.0
4500174496_20,4500174496,20,,2023-12-06,55054701,10000,Vendor,2021-02-23,,KG,10.0
4500174515_10,4500174515,10,,2023-12-06,,1386250,Partnership,,,,
4210142251_10,4210142251,10,,2023-12-06,,109000,Partnership,,,,
4500174519_90,4500174519,90,,2023-12-06,,10000,Partnership,,,,
4210142189_10,4210142189,10,,2023-12-06,7031513,10000,Vendor,2009-08-31,,UN,0.0
4500174549_1,4500174549,1,,2023-12-06,,10000,Partnership,,,,
4210142245_10,4210142245,10,,2023-12-06,,5130,Partnership,,,,
4500174519_100,4500174519,100,,2023-12-06,,8380,Partnership,,,,
4500174519_130,4500174519,130,,2023-12-06,,10000,Partnership,,,,
4500174519_140,4500174519,140,,2023-12-06,,10000,Partnership,,,,
4300012945_10,4300012945,10,,2023-12-06,30040005,10000,Vendor,2006-06-01,,KG,25.0
4300013010_10,4300013010,10,,2023-12-06,30040001,10000,Vendor,1998-10-01,,KG,15.0
4500174519_210,4500174519,210,,2023-12-06,,10000,Partnership,,,,
4500174519_200,4500174519,200,,2023-12-06,,10000,Partnership,,,,
4500174519_190,4500174519,190,,2023-12-06,,10000,Partnership,,,,
4500174519_180,4500174519,180,,2023-12-06,,10000,Partnership,,,,
4500174519_120,4500174519,120,,2023-12-06,,161000,Partnership,,,,
4500174519_150,4500174519,150,,2023-12-06,,10000,Partnership,,,,
4500174519_50,4500174519,50,,2023-12-06,,114850,Partnership,,,,
4500174519_170,4500174519,170,,2023-12-06,,15270,Partnership,,,,
4210142219_10,4210142219,10,,2023-12-06,,6560,Partnership,,,,
4500174519_80,4500174519,80,,2023-12-06,,10000,Partnership,,,,
4210142249_10,4210142249,10,,2023-12-06,,45170,Partnership,,,,
4210142225_20,4210142225,20,,2023-12-06,7054575,10000,Vendor,2023-12-06,,UN,0.0
4500174519_30,4500174519,30,,2023-12-06,,17610,Partnership,,,,
4500174528_10,4500174528,10,,2023-12-06,8023713,10000,Partnership,2014-04-02,,UN,0.0
4500174519_40,4500174519,40,,2023-12-06,,29830,Partnership,,,,
4500174519_60,4500174519,60,,2023-12-06,,10000,Partnership,,,,
4210142239_10,4210142239,10,,2023-12-06,,577000,Partnership,,,,
4210142222_10,4210142222,10,,2023-12-06,,10000,Partnership,,,,
4210142222_20,4210142222,20,,2023-12-06,,10000,Partnership,,,,
4210142256_10,4210142256,10,,2023-12-06,,3368750,Partnership,,,,
4500174521_10,4500174521,10,,2023-12-06,,1558760,Partnership,,,,
4500174546_1,4500174546,1,,2023-12-06,,318040,Partnership,,,,
4500174544_1,4500174544,1,,2023-12-06,,10000,Partnership,,,,
4210142238_10,4210142238,10,,2023-12-06,,185830,Partnership,,,,
4210142225_10,4210142225,10,,2023-12-06,7054574,10000,Vendor,2023-12-06,,UN,0.0
4210142225_60,4210142225,60,,2023-12-06,7054579,10000,Vendor,2023-12-06,,UN,0.0
4210142225_50,4210142225,50,,2023-12-06,7054578,10000,Vendor,2023-12-06,,UN,0.0
4210142225_40,4210142225,40,,2023-12-06,7054577,10000,Vendor,2023-12-06,,UN,0.0
4210142225_30,4210142225,30,,2023-12-06,7054576,10000,Vendor,2023-12-06,,UN,0.0
4500174547_1,4500174547,1,,2023-12-06,,10000,Partnership,,,,
4500174519_70,4500174519,70,,2023-12-06,,10000,Partnership,,,,
4210142224_20,4210142224,20,,2023-12-06,,25410,Partnership,,,,
4500174539_10,4500174539,10,,2023-12-06,55067201,10000,Vendor,2020-10-29,,KG,5.0
4210142224_10,4210142224,10,,2023-12-06,,69090,Partnership,,,,
4500174464_300,4500174464,300,,2023-12-06,,10000,Partnership,,,,
4500174464_310,4500174464,310,,2023-12-06,,10000,Partnership,,,,
4500174464_320,4500174464,320,,2023-12-06,,10000,Partnership,,,,
4500174464_330,4500174464,330,,2023-12-06,,10000,Partnership,,,,
4500174464_350,4500174464,350,,2023-12-06,,10000,Partnership,,,,
4500174464_360,4500174464,360,,2023-12-06,,10000,Partnership,,,,
4500174464_370,4500174464,370,,2023-12-06,,10000,Partnership,,,,
4300013190_20,4300013190,20,,2023-12-06,31021004,12540,Vendor,2017-12-20,,KG,10.0
4500174464_830,4500174464,830,,2023-12-06,,10000,Partnership,,,,
4500174526_10,4500174526,10,,2023-12-06,8029498,10000,Vendor,2019-12-13,,UN,0.0
4000006833_10,4000006833,10,,2023-12-06,51220104,10000,Vendor,2020-09-25,,UN,0.0
4500174464_840,4500174464,840,,2023-12-06,,10000,Partnership,,,,
4500174464_850,4500174464,850,,2023-12-06,,10000,Partnership,,,,
4500174464_860,4500174464,860,,2023-12-06,,10000,Partnership,,,,
4210142221_40,4210142221,40,,2023-12-06,,5130,Partnership,,,,
4210142224_30,4210142224,30,,2023-12-06,,10070,Partnership,,,,
4500174464_880,4500174464,880,,2023-12-06,,10000,Partnership,,,,
4500174464_290,4500174464,290,,2023-12-06,,10000,Partnership,,,,
4500174464_280,4500174464,280,,2023-12-06,,10000,Partnership,,,,
4500174464_270,4500174464,270,,2023-12-06,,10000,Partnership,,,,
4500174464_260,4500174464,260,,2023-12-06,,10000,Partnership,,,,
4500174464_50,4500174464,50,,2023-12-06,,10000,Partnership,,,,
4500174464_60,4500174464,60,,2023-12-06,,10000,Partnership,,,,
4500174464_80,4500174464,80,,2023-12-06,,10000,Partnership,,,,
4500174464_90,4500174464,90,,2023-12-06,,10000,Partnership,,,,
4500174464_100,4500174464,100,,2023-12-06,,10000,Partnership,,,,
4500174464_110,4500174464,110,,2023-12-06,,10000,Partnership,,,,
4500174464_120,4500174464,120,,2023-12-06,,10000,Partnership,,,,
4500174464_130,4500174464,130,,2023-12-06,,10000,Partnership,,,,
4500174464_890,4500174464,890,,2023-12-06,,10000,Partnership,,,,
4500174464_140,4500174464,140,,2023-12-06,,10000,Partnership,,,,
4500174464_160,4500174464,160,,2023-12-06,,10000,Partnership,,,,
4500174464_170,4500174464,170,,2023-12-06,,10000,Partnership,,,,
4500174464_190,4500174464,190,,2023-12-06,,10000,Partnership,,,,
4500174464_200,4500174464,200,,2023-12-06,,10000,Partnership,,,,
4500174464_210,4500174464,210,,2023-12-06,,10000,Partnership,,,,
4500174464_230,4500174464,230,,2023-12-06,,10000,Partnership,,,,
4500174464_240,4500174464,240,,2023-12-06,,10000,Partnership,,,,
4500174464_250,4500174464,250,,2023-12-06,,10000,Partnership,,,,
4500174464_150,4500174464,150,,2023-12-06,,10000,Partnership,,,,
4500174464_900,4500174464,900,,2023-12-06,,10000,Partnership,,,,
4500174464_870,4500174464,870,,2023-12-06,,10000,Partnership,,,,
4500174464_910,4500174464,910,,2023-12-06,,10000,Partnership,,,,
4500174464_1920,4500174464,1920,,2023-12-06,,10000,Partnership,,,,
4500174464_1940,4500174464,1940,,2023-12-06,,10000,Partnership,,,,
45006075_10,45006075,10,,2023-12-06,51290120,10000,Vendor,2000-02-02,,UN,0.0
45006077_10,45006077,10,,2023-12-06,52560406,10000,Vendor,2023-02-03,,UN,0.0
45006078_10,45006078,10,,2023-12-06,51270220,10000,Vendor,2000-02-02,,UN,0.0
45006062_20,45006062,20,,2023-12-06,58090149,59600,Vendor,2019-05-14,,L,0.0
4210142227_10,4210142227,10,,2023-12-06,,5130,Partnership,,,,
4300012967_10,4300012967,10,,2023-12-06,50010001,10000,Vendor,1998-09-22,,KG,10.0
45006031_10,45006031,10,,2023-12-06,970005,10000,Vendor,2019-04-19,,UN,0.0
4210142221_20,4210142221,20,,2023-12-06,,5130,Partnership,,,,
4210142221_10,4210142221,10,,2023-12-06,,5130,Partnership,,,,
4210142215_10,4210142215,10,,2023-12-06,,5130,Partnership,,,,
45006063_10,45006063,10,,2023-12-06,100242,19300,Vendor,2019-04-19,,KG,20.0
4300012988_10,4300012988,10,,2023-12-06,30040001,10000,Vendor,1998-10-01,,KG,15.0
4500174540_20,4500174540,20,,2023-12-06,31500101,10000,Vendor,2017-01-19,,KG,25.0
4500174540_30,4500174540,30,,2023-12-06,31500101,10000,Vendor,2017-01-19,,KG,25.0
4500174540_10,4500174540,10,,2023-12-06,31500011,10000,Vendor,2017-11-29,,KG,15.0
4600000198_20,4600000198,20,,2023-12-06,31500101,10000,Vendor,2017-01-19,,KG,25.0
4600000198_10,4600000198,10,,2023-12-06,31500011,10000,Vendor,2017-11-29,,KG,15.0
4500174464_1450,4500174464,1450,,2023-12-06,,10000,Partnership,,,,
4210142221_30,4210142221,30,,2023-12-06,,5130,Partnership,,,,
4500174519_110,4500174519,110,,2023-12-06,,10000,Partnership,,,,
4500174464_1360,4500174464,1360,,2023-12-06,,10000,Partnership,,,,
4500174464_1400,4500174464,1400,,2023-12-06,,10000,Partnership,,,,
4500174464_990,4500174464,990,,2023-12-06,,10000,Partnership,,,,
4500174464_1430,4500174464,1430,,2023-12-06,,10000,Partnership,,,,
4500174464_950,4500174464,950,,2023-12-06,,10000,Partnership,,,,
4500174464_940,4500174464,940,,2023-12-06,,10000,Partnership,,,,
4500174464_1220,4500174464,1220,,2023-12-06,,10000,Partnership,,,,
4500174464_730,4500174464,730,,2023-12-06,,10000,Partnership,,,,
4500174464_1740,4500174464,1740,,2023-12-06,,10000,Partnership,,,,
4500174464_1370,4500174464,1370,,2023-12-06,,10000,Partnership,,,,
4500174464_1380,4500174464,1380,,2023-12-06,,10000,Partnership,,,,
4500174464_1390,4500174464,1390,,2023-12-06,,10000,Partnership,,,,
4500174464_930,4500174464,930,,2023-12-06,,10000,Partnership,,,,
4500174464_920,4500174464,920,,2023-12-06,,10000,Partnership,,,,
4500174464_1420,4500174464,1420,,2023-12-06,,10000,Partnership,,,,
4500174464_1930,4500174464,1930,,2023-12-06,,10000,Partnership,,,,
4210142259_20,4210142259,20,,2023-12-07,7013099,10000,Vendor,2005-12-03,,UN,0.0
6000037855_30,6000037855,30,,2023-12-07,7053547,5000,Vendor,2022-12-21,,UN,0.0
4210142277_10,4210142277,10,,2023-12-07,7024849,10000,Vendor,2007-12-18,,UN,0.0
4210138892_20,4210138892,20,,2023-12-07,7047679,10000,Vendor,2018-07-30,,UN,0.0
4210142277_20,4210142277,20,,2023-12-07,7049325,10000,Vendor,2019-10-22,,UN,0.0
4210142321_10,4210142321,10,,2023-12-07,,15400,Partnership,,,,
4210142277_30,4210142277,30,,2023-12-07,7049324,10000,Vendor,2019-10-22,,UN,0.0
6000037855_10,6000037855,10,,2023-12-07,7046933,5000,Vendor,2018-06-12,,UN,0.0
6000037855_20,6000037855,20,,2023-12-07,7048153,5000,Vendor,2018-10-04,,UN,0.0
4220040212_10,4220040212,10,,2023-12-07,,10000,Partnership,,,,
6000037855_40,6000037855,40,,2023-12-07,7028333,5000,Vendor,2007-12-18,,UN,0.0
4210141731_30,4210141731,30,,2023-12-07,7029421,10000,Vendor,2008-02-25,,UN,0.0
4210142259_40,4210142259,40,,2023-12-07,7052411,10000,Vendor,2022-02-03,,UN,0.0
4210141731_50,4210141731,50,,2023-12-07,,10000,Partnership,,,,
4210141731_60,4210141731,60,,2023-12-07,,10000,Partnership,,,,
4210141731_70,4210141731,70,,2023-12-07,,10000,Partnership,,,,
4210142294_10,4210142294,10,,2023-12-07,,10000,Partnership,,,,
4210142290_10,4210142290,10,,2023-12-07,,1292000,Partnership,,,,
4210138524_60,4210138524,60,,2023-12-07,7054091,10000,Vendor,2023-07-04,,UN,0.0
4210142292_10,4210142292,10,,2023-12-07,,101850,Partnership,,,,
4210141731_10,4210141731,10,,2023-12-07,,6690,Partnership,,,,
4210142275_30,4210142275,30,,2023-12-07,7050214,10000,Vendor,2020-07-13,,UN,0.0
4210142275_20,4210142275,20,,2023-12-07,7054536,10000,Vendor,2023-11-22,,UN,0.0
4600000200_10,4600000200,10,,2023-12-07,38022602,10000,Vendor,2014-07-22,,L,0.0
4500156268_10,4500156268,10,,2023-12-07,FACONNAGE,10000,Partnership,2006-07-20,,UN,0.0
4500142921_10,4500142921,10,,2023-12-07,FACONNAGE,10000,Partnership,2006-07-20,,UN,0.0
4500174578_10,4500174578,10,,2023-12-07,30030202,10000,Partnership,2021-12-17,,KG,25.0
4500174537_10,4500174537,10,,2023-12-07,30030201,10000,Partnership,2013-01-08,,KG,5.0
4500174536_10,4500174536,10,,2023-12-07,30030201,10000,Partnership,2013-01-08,,KG,5.0
4210142275_10,4210142275,10,,2023-12-07,7026338,10000,Vendor,2007-12-18,,UN,0.0
4210141731_20,4210141731,20,,2023-12-07,7007558,10000,Vendor,2005-12-03,,UN,0.0
4210141731_40,4210141731,40,,2023-12-07,7046218,10000,Vendor,2018-01-12,,UN,0.0
4210141532_200,4210141532,200,,2023-12-07,7045557,10000,Vendor,2017-08-28,,UN,0.0
4210142322_10,4210142322,10,,2023-12-07,,5130,Partnership,,,,
4210142279_10,4210142279,10,,2023-12-07,,10000,Partnership,,,,
4500174573_10,4500174573,10,,2023-12-07,,10000,Partnership,,,,
4500174590_10,4500174590,10,,2023-12-07,55069607,10000,Partnership,2021-02-23,,KG,5.0
4210142309_10,4210142309,10,,2023-12-07,,5130,Partnership,,,,
4500174609_10,4500174609,10,,2023-12-07,55061702,10000,Vendor,2021-02-23,,KG,25.0
4210142282_10,4210142282,10,,2023-12-07,7052072,10000,Vendor,2021-10-13,,UN,0.0
5500007801_10,5500007801,10,,2023-12-07,910164,84950,Vendor,2017-08-28,,UN,0.0
4210142295_10,4210142295,10,,2023-12-07,,10000,Partnership,,,,
4210142317_10,4210142317,10,,2023-12-07,,837000,Partnership,,,,
4210142316_10,4210142316,10,,2023-12-07,,1045000,Partnership,,,,
4210142296_10,4210142296,10,,2023-12-07,,10000,Partnership,,,,
4210142278_10,4210142278,10,,2023-12-07,,5130,Partnership,,,,
4210141450_20,4210141450,20,,2023-12-07,7019061,10000,Vendor,2006-10-30,,UN,0.0
4210141532_180,4210141532,180,,2023-12-07,7045522,10000,Vendor,2017-08-16,,UN,0.0
4210141532_60,4210141532,60,,2023-12-07,7006753,10000,Vendor,2005-12-03,,UN,0.0
4210141532_190,4210141532,190,,2023-12-07,7045521,10000,Vendor,2017-08-16,,UN,0.0
4210142259_30,4210142259,30,,2023-12-07,7034033,10000,Vendor,2011-03-03,,UN,0.0
4210142277_40,4210142277,40,,2023-12-07,7041174,10000,Vendor,2014-11-12,,UN,0.0
4500174567_10,4500174567,10,,2023-12-07,,10000,Partnership,,,,
4210142274_10,4210142274,10,,2023-12-07,,5130,Partnership,,,,
4500174595_10,4500174595,10,,2023-12-07,55069901,10000,Vendor,2022-02-11,,L,0.0
4210142262_10,4210142262,10,,2023-12-07,7046526,10000,Vendor,2018-03-20,,UN,0.0
4210142262_20,4210142262,20,,2023-12-07,7046527,10000,Vendor,2018-03-20,,UN,0.0
4210142262_30,4210142262,30,,2023-12-07,7046528,10000,Vendor,2018-03-20,,UN,0.0
4500166407_10,4500166407,10,,2023-12-07,,10000,Partnership,,,,
4500174551_1,4500174551,1,,2023-12-07,,5000,Partnership,,,,
4500170721_10,4500170721,10,,2023-12-07,,10000,Partnership,,,,
4500174574_20,4500174574,20,,2023-12-07,,10000,Partnership,,,,
4500174552_10,4500174552,10,,2023-12-07,8026440,10000,Vendor,2015-08-28,,UN,0.0
4500174596_10,4500174596,10,,2023-12-07,55069901,10000,Vendor,2022-02-11,,L,0.0
4400010320_1,4400010320,1,,2023-12-07,,10000,Partnership,,,,
4500174354_10,4500174354,10,,2023-12-07,8028292,10000,Vendor,2018-07-20,,UN,0.0
4500174354_20,4500174354,20,,2023-12-07,8028292,10000,Vendor,2018-07-20,,UN,0.0
4400010320_11,4400010320,11,,2023-12-07,,54400,Partnership,,,,
4400010320_10,4400010320,10,,2023-12-07,,10000,Partnership,,,,
4400010320_9,4400010320,9,,2023-12-07,,20210,Partnership,,,,
4400010320_8,4400010320,8,,2023-12-07,,10000,Partnership,,,,
4500174562_10,4500174562,10,,2023-12-07,,10000,Partnership,,,,
4500174582_1,4500174582,1,,2023-12-07,,10000,Partnership,,,,
4400010320_7,4400010320,7,,2023-12-07,,28400,Partnership,,,,
4500174354_30,4500174354,30,,2023-12-07,8022172,10000,Vendor,2013-06-27,,UN,0.0
4500174565_10,4500174565,10,,2023-12-07,,10000,Partnership,,,,
4500174597_10,4500174597,10,,2023-12-07,55069901,10000,Vendor,2022-02-11,,L,0.0
4300012944_10,4300012944,10,,2023-12-07,30040005,10000,Vendor,2006-06-01,,KG,25.0
4400010286_30,4400010286,30,,2023-12-07,33371454,10000,Vendor,2004-04-22,,KG,20.0
4400010286_110,4400010286,110,,2023-12-07,58200521,10000,Vendor,2023-07-12,,KG,25.0
4500174602_20,4500174602,20,,2023-12-07,,10000,Partnership,,,,
4500174602_10,4500174602,10,,2023-12-07,,10000,Partnership,,,,
4500174556_10,4500174556,10,,2023-12-07,8005935,10000,Vendor,2013-02-20,,L,0.0
4500174575_10,4500174575,10,,2023-12-07,,10000,Partnership,,,,
4500174601_10,4500174601,10,,2023-12-07,55069901,10000,Vendor,2022-02-11,,L,0.0
4210142315_10,4210142315,10,,2023-12-07,,10000,Partnership,,,,
4500174601_20,4500174601,20,,2023-12-07,55069905,10000,Vendor,2022-05-13,,L,0.0
4500174598_10,4500174598,10,,2023-12-07,55069901,10000,Vendor,2022-02-11,,L,0.0
4500174608_10,4500174608,10,,2023-12-07,55060501,10000,Vendor,2021-02-23,,KG,25.0
4400010321_10,4400010321,10,,2023-12-07,30030202,10000,Partnership,2021-12-17,,KG,25.0
4210142210_10,4210142210,10,,2023-12-07,,1305000,Partnership,,,,
4210142287_20,4210142287,20,,2023-12-07,,10000,Partnership,,,,
4210142287_10,4210142287,10,,2023-12-07,,10000,Partnership,,,,
4210142265_10,4210142265,10,,2023-12-07,7043663,10000,Vendor,2016-04-13,,UN,0.0
4500174600_10,4500174600,10,,2023-12-07,55069901,10000,Vendor,2022-02-11,,L,0.0
4500174600_20,4500174600,20,,2023-12-07,55069905,10000,Vendor,2022-05-13,,L,0.0
4500174599_10,4500174599,10,,2023-12-07,55069901,10000,Vendor,2022-02-11,,L,0.0
4210142306_10,4210142306,10,,2023-12-07,7006331,10000,Vendor,2005-12-03,,UN,0.0
4210142304_10,4210142304,10,,2023-12-07,,5130,Partnership,,,,
4000006838_10,4000006838,10,,2023-12-07,33300254,10000,Vendor,2018-12-14,,KG,10.0
4500174607_1,4500174607,1,,2023-12-07,,739500,Partnership,,,,
4500172974_10,4500172974,10,,2023-12-07,33360601,10000,Vendor,2004-03-18,,KG,25.0
4500174611_10,4500174611,10,,2023-12-07,55069107,10000,Vendor,2020-10-29,,KG,25.0
4500174594_10,4500174594,10,,2023-12-07,55072601,10000,Vendor,2020-10-29,,KG,5.0
4500174588_10,4500174588,10,,2023-12-07,55047521,10000,Vendor,2020-10-29,,KG,10.0
4500174570_60,4500174570,60,,2023-12-07,,10000,Partnership,,,,
4500174570_70,4500174570,70,,2023-12-07,,10000,Partnership,,,,
4500174570_10,4500174570,10,,2023-12-07,,10000,Partnership,,,,
4500174570_20,4500174570,20,,2023-12-07,,10000,Partnership,,,,
4500174570_30,4500174570,30,,2023-12-07,,10000,Partnership,,,,
4500174570_40,4500174570,40,,2023-12-07,,10000,Partnership,,,,
4400010319_10,4400010319,10,,2023-12-07,54000003,10000,Vendor,2016-05-11,,KG,10.0
4500174570_50,4500174570,50,,2023-12-07,,10000,Partnership,,,,
4210142273_50,4210142273,50,,2023-12-07,7046739,10000,Vendor,2018-05-16,,KG,25.0
4210142273_40,4210142273,40,,2023-12-07,7046736,10000,Vendor,2018-05-16,,KG,5.0
4210142268_10,4210142268,10,,2023-12-07,7038035,10000,Vendor,2013-01-25,,UN,0.0
4500174587_10,4500174587,10,,2023-12-07,55063801,10000,Vendor,2020-10-29,,KG,20.0
4500174608_40,4500174608,40,,2023-12-07,55071801,10000,Vendor,2021-02-23,,KG,20.0
4500174608_30,4500174608,30,,2023-12-07,55063801,10000,Vendor,2020-10-29,,KG,20.0
4500174608_50,4500174608,50,,2023-12-07,55066301,10000,Vendor,2021-02-23,,KG,20.0
4500174608_20,4500174608,20,,2023-12-07,55067201,10000,Vendor,2020-10-29,,KG,5.0
4210142289_10,4210142289,10,,2023-12-07,,10000,Partnership,,,,
4210142273_10,4210142273,10,,2023-12-07,7044241,10000,Vendor,2016-08-10,,UN,0.0
4500174584_1,4500174584,1,,2023-12-07,,10000,Partnership,,,,
4500173841_10,4500173841,10,,2023-12-07,,10000,Partnership,,,,
4210142144_10,4210142144,10,,2023-12-07,7054563,10000,Vendor,2023-12-01,,UN,0.0
4210142297_10,4210142297,10,,2023-12-07,,10000,Partnership,,,,
4210142297_20,4210142297,20,,2023-12-07,,32300,Partnership,,,,
4500174571_10,4500174571,10,,2023-12-07,,24478020,Partnership,,,,
4400010320_6,4400010320,6,,2023-12-07,,13190,Partnership,,,,
4500174592_10,4500174592,10,,2023-12-07,8029783,10000,Vendor,2020-01-19,,UN,0.0
4500163820_90,4500163820,90,,2023-12-07,,10000,Partnership,,,,
4500163820_80,4500163820,80,,2023-12-07,,10000,Partnership,,,,
4500163820_70,4500163820,70,,2023-12-07,,10000,Partnership,,,,
4500174577_10,4500174577,10,,2023-12-07,,10000,Partnership,,,,
4500174615_1,4500174615,1,,2023-12-07,,10000,Partnership,,,,
4500174603_10,4500174603,10,,2023-12-07,,10000,Partnership,,,,
4400010320_4,4400010320,4,,2023-12-07,,10000,Partnership,,,,
4500174593_10,4500174593,10,,2023-12-07,,10000,Partnership,,,,
4210142272_10,4210142272,10,,2023-12-07,7050073,10000,Vendor,2020-06-05,,UN,0.0
4210142302_10,4210142302,10,,2023-12-07,,10000,Partnership,,,,
4400010320_3,4400010320,3,,2023-12-07,,10000,Partnership,,,,
4210142310_10,4210142310,10,,2023-12-07,,5130,Partnership,,,,
4210142319_10,4210142319,10,,2023-12-07,,5130,Partnership,,,,
4400010320_2,4400010320,2,,2023-12-07,,117320,Partnership,,,,
4500174583_1,4500174583,1,,2023-12-07,,10000,Partnership,,,,
4400010320_5,4400010320,5,,2023-12-07,,10000,Partnership,,,,
4000006839_10,4000006839,10,,2023-12-07,33300254,10000,Vendor,2018-12-14,,KG,10.0
5500007769_10,5500007769,10,,2023-12-07,910162,510700,Vendor,2014-06-20,,KG,10.0
4300012969_10,4300012969,10,,2023-12-07,50010001,10000,Vendor,1998-09-22,,KG,10.0
4220040211_10,4220040211,10,,2023-12-07,,279300,Partnership,,,,
4500174585_10,4500174585,10,,2023-12-07,,10000,Partnership,,,,
4000006840_10,4000006840,10,,2023-12-07,33300254,10000,Vendor,2018-12-14,,KG,10.0
4500174559_10,4500174559,10,,2023-12-07,,10000,Partnership,,,,
4500174559_20,4500174559,20,,2023-12-07,,10000,Partnership,,,,
4210142312_10,4210142312,10,,2023-12-07,,1175000,Partnership,,,,
4210142291_60,4210142291,60,,2023-12-07,,10000,Partnership,,,,
4210142291_10,4210142291,10,,2023-12-07,,10000,Partnership,,,,
4210142291_20,4210142291,20,,2023-12-07,,10000,Partnership,,,,
4210142291_30,4210142291,30,,2023-12-07,,10000,Partnership,,,,
4300013282_10,4300013282,10,,2023-12-07,9000040,10000,Partnership,2010-10-02,,UN,0.0
4210142291_40,4210142291,40,,2023-12-07,,10000,Partnership,,,,
4210142291_70,4210142291,70,,2023-12-07,,10000,Partnership,,,,
4210142291_50,4210142291,50,,2023-12-07,,10000,Partnership,,,,
4210142288_10,4210142288,10,,2023-12-07,,5130,Partnership,,,,
4500174610_1,4500174610,1,,2023-12-07,,10000,Partnership,,,,
4210142134_40,4210142134,40,,2023-12-07,,265000,Partnership,,,,
4210142313_10,4210142313,10,,2023-12-07,,1175000,Partnership,,,,
4500174606_1,4500174606,1,,2023-12-07,,10000,Partnership,,,,
4210142276_10,4210142276,10,,2023-12-07,7038298,10000,Vendor,2013-03-13,,UN,0.0
4500174563_20,4500174563,20,,2023-12-07,55053501,10000,Vendor,2020-02-26,,KG,15.0
4500174580_20,4500174580,20,,2023-12-07,55053501,10000,Vendor,2020-02-26,,KG,15.0
4500174580_10,4500174580,10,,2023-12-07,55044601,10000,Vendor,2019-07-15,,KG,20.0
4210142100_30,4210142100,30,,2023-12-07,7010979,5000,Vendor,2005-12-03,,UN,0.0
4500174563_10,4500174563,10,,2023-12-07,55053501,10000,Vendor,2020-02-26,,KG,15.0
4210142100_20,4210142100,20,,2023-12-07,7010964,5000,Vendor,2005-12-03,,UN,0.0
4210142100_10,4210142100,10,,2023-12-07,7010960,5000,Vendor,2005-12-03,,UN,0.0
6000037853_10,6000037853,10,,2023-12-07,7038500,5000,Vendor,2013-04-15,,UN,0.0
6000037853_20,6000037853,20,,2023-12-07,7053980,5000,Vendor,2023-05-23,,UN,0.0
6000037854_10,6000037854,10,,2023-12-07,7031322,5000,Vendor,2009-07-15,,UN,0.0
6000037854_20,6000037854,20,,2023-12-07,7042728,5000,Vendor,2015-10-29,,UN,0.0
6000037854_40,6000037854,40,,2023-12-07,7053733,5000,Vendor,2023-02-16,,UN,0.0
